"long","lat","year"
-44.863931,-23.356611,"1999"
-44.863931,-23.356611,"1999"
-44.863931,-23.356611,"1999"
-44.863931,-23.356611,"1999"
-44.863931,-23.356611,"1999"
-44.863931,-23.356611,"1999"
-44.863931,-23.356611,"1999"
-44.863931,-23.356611,"1999"
-44.863931,-23.356611,"1999"
-44.863931,-23.356611,"1999"
-44.863931,-23.356611,"1999"
-44.863931,-23.356611,"1999"
-43.972322,-19.876472,"2014"
-43.972322,-19.876472,"2013"
-43.972322,-19.876472,"2013"
-43.972322,-19.876472,"2013"
-43.972322,-19.876472,"2013"
-43.607339,-19.353528,"2014"
-43.607339,-19.353528,"2014"
-43.607339,-19.353528,"2014"
-43.607339,-19.353528,"2014"
-43.607339,-19.353528,"2014"
-43.607339,-19.353528,"2014"
-43.146772,-22.383736,"1999"
-43.015906,-22.522444,"2001"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"1998"
-43.015906,-22.522444,"2001"
-43.015906,-22.522444,"1998"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2015"
-42.631058,-19.764111,"2015"
-42.631058,-19.764111,"2015"
-42.631058,-19.764111,"2015"
-42.631058,-19.764111,"2013"
-42.631058,-19.764111,"2013"
-42.631058,-19.764111,"2013"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2015"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2015"
-42.631058,-19.764111,"2015"
-42.631058,-19.764111,"2015"
-42.631058,-19.764111,"2015"
-42.631058,-19.764111,"2015"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2015"
-42.631058,-19.764111,"2015"
-42.631058,-19.764111,"2015"
-42.631058,-19.764111,"2015"
-42.631058,-19.764111,"2015"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2015"
-42.631058,-19.764111,"2015"
-42.631058,-19.764111,"2015"
-42.631058,-19.764111,"2015"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2015"
-42.631058,-19.764111,"2015"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2015"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.488922,-22.328944,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
